date,num_rides,holiday,Max_Temp,Min_Temp,Rain_in,Snow&Hail_in,obs_time_ Snow&Hail_in
2018/09/01,208328,FALSE,78,69,0,0,0
2018/09/02,191478,FALSE,81,68,0,0,0
2018/09/03,189547,TRUE,90,75,0,0,0
2018/09/04,267005,FALSE,92,77,0,0,0
2018/09/05,292590,FALSE,89,77,0,0,0
2018/09/06,302302,FALSE,93,73,0.36,0,0
2018/09/07,294396,FALSE,75,69,0.001,0,0
2018/09/08,280407,FALSE,71,61,0.02,0,0
2018/09/09,257122,FALSE,62,55,0.45,0,0
2018/09/10,252838,FALSE,64,54,0.93,0,0
2018/09/11,266087,FALSE,74,62,0.02,0,0
2018/09/12,291892,FALSE,77,71,0.15,0,0
2018/09/13,301388,FALSE,76,69,0.13,0,0
2018/09/14,302156,FALSE,75,68,0.001,0,0
2018/09/15,287441,FALSE,80,67,0,0,0
2018/09/16,257514,FALSE,84,67,0,0,0
2018/09/17,267939,FALSE,79,68,0.01,0,0
2018/09/18,269141,FALSE,79,70,1.19,0,0
2018/09/19,268931,FALSE,81,68,0.001,0,0
2018/09/20,299034,FALSE,72,65,0,0,0
2018/09/21,298240,FALSE,72,67,0,0,0
2018/09/22,285038,FALSE,74,62,0,0,0
2018/09/23,243501,FALSE,66,60,0.001,0,0
2018/09/24,235629,FALSE,69,57,0,0,0
2018/09/25,251897,FALSE,73,59,1.95,0,0
2018/09/26,265071,FALSE,82,69,0.21,0,0
2018/09/27,281504,FALSE,72,61,0.001,0,0
2018/09/28,294983,FALSE,65,56,0.77,0,0
2018/09/29,290238,FALSE,72,58,0,0,0
2018/09/30,254989,FALSE,70,54,0,0,0
2017/03/01,342114,FALSE,70,54,0.12,0,0
2017/03/02,372890,FALSE,64,35,0,0,0
2017/03/03,395438,FALSE,39,24,0,0,0
2017/03/04,404095,FALSE,30,17,0,0,0
2017/03/05,326953,FALSE,37,14,0,0,0
2017/03/06,309437,FALSE,45,26,0,0,0
2017/03/07,332351,FALSE,56,42,0.1,0,0
2017/03/08,342606,FALSE,59,47,0.02,0,0
2017/03/09,362991,FALSE,61,47,0,0,0
2017/03/10,380879,FALSE,47,23,0.31,2.1,0
2017/03/11,401203,FALSE,29,17,0,0,1.2
2017/03/12,335497,FALSE,29,19,0,0,0.001
2017/03/13,336446,FALSE,36,20,0,0.001,0
2017/03/14,100371,FALSE,32,21,1.97,7.6,3.9
2017/03/15,292175,FALSE,26,20,0,0,5.9
2017/03/16,316944,FALSE,39,24,0,0,5.1
2017/03/17,319364,FALSE,47,29,0,0,3.9
2017/03/18,365698,FALSE,39,34,0.08,0.001,3.1
2017/03/19,301011,FALSE,47,34,0,0,3.1
2017/03/20,285014,FALSE,52,33,0,0,0.001
2017/03/21,305218,FALSE,59,42,0,0,0
2017/03/22,347405,FALSE,50,24,0,0,0
2017/03/23,345935,FALSE,42,23,0,0,0
2017/03/24,341160,FALSE,57,36,0.001,0,0
2017/03/25,346831,FALSE,62,42,0.01,0,0
2017/03/26,303860,FALSE,42,37,0.14,0,0
2017/03/27,285980,FALSE,53,37,0.26,0,0
2017/03/28,333163,FALSE,46,41,0.72,0,0
2017/03/29,331685,FALSE,60,42,0,0,0
2017/03/30,352150,FALSE,52,38,0.01,0,0
2017/03/31,378577,FALSE,43,37,1.51,0,0
2019/06/01,245609,FALSE,80,63,0,0,0
2019/06/02,210071,FALSE,81,61,0.86,0,0
2019/06/03,228692,FALSE,70,58,0,0,0
2019/06/04,228798,FALSE,70,54,0,0,0
2019/06/05,254112,FALSE,81,64,0.001,0,0
2019/06/06,262701,FALSE,83,68,0.04,0,0
2019/06/07,251328,FALSE,81,66,0,0,0
2019/06/08,230470,FALSE,81,63,0,0,0
2019/06/09,191204,FALSE,78,60,0,0,0
2019/06/10,222130,FALSE,70,60,0.62,0,0
2019/06/11,240949,FALSE,77,63,0.45,0,0
2019/06/12,253262,FALSE,74,59,0,0,0
2019/06/13,263734,FALSE,65,55,0.6,0,0
2019/06/14,243672,FALSE,73,58,0,0,0
2019/06/15,222174,FALSE,81,60,0,0,0
2019/06/16,188934,FALSE,80,65,0.04,0,0
2019/06/17,216480,FALSE,76,69,0.001,0,0
2019/06/18,243375,FALSE,73,67,0.79,0,0
2019/06/19,247813,FALSE,71,66,0.11,0,0
2019/06/20,256208,FALSE,78,65,0.42,0,0
2019/06/21,249826,FALSE,77,65,0.53,0,0
2019/06/22,221976,FALSE,79,61,0,0,0
2019/06/23,201308,FALSE,83,64,0,0,0
2019/06/24,219624,FALSE,84,67,0,0,0
2019/06/25,242720,FALSE,84,72,0.86,0,0
2019/06/26,250875,FALSE,87,72,0,0,0
2019/06/27,254927,FALSE,89,71,0,0,0
2019/06/28,243193,FALSE,89,73,0,0,0
2019/06/29,217029,FALSE,91,72,0.08,0,0
2019/06/30,167832,FALSE,83,69,0.06,0,0
2018/10/01,256718,FALSE,76,63,0,0,0
2018/10/02,281993,FALSE,77,65,0.69,0,0
2018/10/03,298035,FALSE,74,63,0,0,0
2018/10/04,306662,FALSE,76,61,0.04,0,0
2018/10/05,294132,FALSE,71,60,0,0,0
2018/10/06,285590,FALSE,68,63,0,0,0
2018/10/07,246882,FALSE,79,67,0,0,0
2018/10/08,233296,TRUE,74,64,0,0,0
2018/10/09,281798,FALSE,77,66,0.001,0,0
2018/10/10,296128,FALSE,80,71,0,0,0
2018/10/11,292640,FALSE,77,69,0.84,0,0
2018/10/12,304412,FALSE,68,51,0.43,0,0
2018/10/13,298432,FALSE,55,46,0.1,0,0
2018/10/14,255591,FALSE,58,47,0,0,0
2018/10/15,263613,FALSE,68,52,0.05,0,0
2018/10/16,294881,FALSE,60,47,0.01,0,0
2018/10/17,301344,FALSE,61,46,0,0,0
2018/10/18,314327,FALSE,50,42,0,0,0
2018/10/19,305105,FALSE,60,43,0,0,0
2018/10/20,293220,FALSE,62,51,0.06,0,0
2018/10/21,272139,FALSE,51,39,0.001,0,0
2018/10/22,269501,FALSE,50,39,0,0,0
2018/10/23,283626,FALSE,63,49,0.001,0,0
2018/10/24,295682,FALSE,54,44,0,0,0
2018/10/25,311667,FALSE,51,40,0,0,0
2018/10/26,311667,FALSE,50,38,0.001,0,0
2018/10/27,303107,FALSE,51,44,1.27,0,0
2018/10/28,262877,FALSE,52,45,0.07,0,0
2018/10/29,264216,FALSE,56,47,0.03,0,0
2018/10/30,281279,FALSE,55,42,0,0,0
2018/10/31,273591,FALSE,64,44,0,0,0
2019/07/01,193570,FALSE,85,65,0,0,0
2019/07/02,199033,FALSE,85,71,0.02,0,0
2019/07/03,180584,FALSE,87,75,0.001,0,0
2019/07/04,123988,TRUE,90,74,0,0,0
2019/07/05,142591,FALSE,86,72,0,0,0
2019/07/06,153204,FALSE,90,76,0.001,0,0
2019/07/07,153038,FALSE,86,72,0,0,0
2019/07/08,190059,FALSE,78,68,0.04,0,0
2019/07/09,216885,FALSE,87,69,0,0,0
2019/07/10,234399,FALSE,88,74,0,0,0
2019/07/11,239812,FALSE,87,73,0.79,0,0
2019/07/12,218212,FALSE,87,72,0,0,0
2019/07/13,212459,FALSE,85,70,0,0,0
