date,VendorID,num_rides,type,holiday,Max_Temp,Min_Temp,Rain_in,Snow&Hail_in,obs_time_ Snow&Hail_in
2017/03/01,1,7074,gc,FALSE,70,54,0.12,0,0
2017/03/01,2,27860,gc,FALSE,70,54,0.12,0,0
2017/03/02,1,8068,gc,FALSE,64,35,0,0,0
2017/03/02,2,31092,gc,FALSE,64,35,0,0,0
2017/03/03,1,9624,gc,FALSE,39,24,0,0,0
2017/03/03,2,36554,gc,FALSE,39,24,0,0,0
2017/03/04,1,10209,gc,FALSE,30,17,0,0,0
2017/03/04,2,39899,gc,FALSE,30,17,0,0,0
2017/03/05,1,7507,gc,FALSE,37,14,0,0,0
2017/03/05,2,30202,gc,FALSE,37,14,0,0,0
2017/03/06,1,6749,gc,FALSE,45,26,0,0,0
2017/03/06,2,25516,gc,FALSE,45,26,0,0,0
2017/03/07,1,6701,gc,FALSE,56,42,0.1,0,0
2017/03/07,2,26436,gc,FALSE,56,42,0.1,0,0
2017/03/08,1,7005,gc,FALSE,59,47,0.02,0,0
2017/03/08,2,27093,gc,FALSE,59,47,0.02,0,0
2017/03/09,1,7777,gc,FALSE,61,47,0,0,0
2017/03/09,2,30234,gc,FALSE,61,47,0,0,0
2017/03/10,1,9003,gc,FALSE,47,23,0.31,2.1,0
2017/03/10,2,34500,gc,FALSE,47,23,0.31,2.1,0
2017/03/11,1,9821,gc,FALSE,29,17,0,0,1.2
2017/03/11,2,38261,gc,FALSE,29,17,0,0,1.2
2017/03/12,1,7467,gc,FALSE,29,19,0,0,0.001
2017/03/12,2,30239,gc,FALSE,29,19,0,0,0.001
2017/03/13,1,7589,gc,FALSE,36,20,0,0.001,0
2017/03/13,2,29332,gc,FALSE,36,20,0,0.001,0
2017/03/14,1,1626,gc,FALSE,32,21,1.97,7.6,3.9
2017/03/14,2,5916,gc,FALSE,32,21,1.97,7.6,3.9
2017/03/15,1,7377,gc,FALSE,26,20,0,0,5.9
2017/03/15,2,27877,gc,FALSE,26,20,0,0,5.9
2017/03/16,1,8177,gc,FALSE,39,24,0,0,5.1
2017/03/16,2,31452,gc,FALSE,39,24,0,0,5.1
2017/03/17,1,8955,gc,FALSE,47,29,0,0,3.9
2017/03/17,2,34169,gc,FALSE,47,29,0,0,3.9
2017/03/18,1,9717,gc,FALSE,39,34,0.08,0.001,3.1
2017/03/18,2,38324,gc,FALSE,39,34,0.08,0.001,3.1
2017/03/19,1,7240,gc,FALSE,47,34,0,0,3.1
2017/03/19,2,29203,gc,FALSE,47,34,0,0,3.1
2017/03/20,1,6226,gc,FALSE,52,33,0,0,0.001
2017/03/20,2,24061,gc,FALSE,52,33,0,0,0.001
2017/03/21,1,6338,gc,FALSE,59,42,0,0,0
2017/03/21,2,24734,gc,FALSE,59,42,0,0,0
2017/03/22,1,7481,gc,FALSE,50,24,0,0,0
2017/03/22,2,29365,gc,FALSE,50,24,0,0,0
2017/03/23,1,7120,gc,FALSE,42,23,0,0,0
2017/03/23,2,28545,gc,FALSE,42,23,0,0,0
2017/03/24,1,8314,gc,FALSE,57,36,0.001,0,0
2017/03/24,2,31773,gc,FALSE,57,36,0.001,0,0
2017/03/25,1,9162,gc,FALSE,62,42,0.01,0,0
2017/03/25,2,35627,gc,FALSE,62,42,0.01,0,0
2017/03/26,1,7581,gc,FALSE,42,37,0.14,0,0
2017/03/26,2,29695,gc,FALSE,42,37,0.14,0,0
2017/03/27,1,6314,gc,FALSE,53,37,0.26,0,0
2017/03/27,2,23867,gc,FALSE,53,37,0.26,0,0
2017/03/28,1,7094,gc,FALSE,46,41,0.72,0,0
2017/03/28,2,26953,gc,FALSE,46,41,0.72,0,0
2017/03/29,1,6705,gc,FALSE,60,42,0,0,0
2017/03/29,2,26175,gc,FALSE,60,42,0,0,0
2017/03/30,1,7377,gc,FALSE,52,38,0.01,0,0
2017/03/30,2,29015,gc,FALSE,52,38,0.01,0,0
2017/03/31,1,9516,gc,FALSE,43,37,1.51,0,0
2017/03/31,2,36944,gc,FALSE,43,37,1.51,0,0
2019/06/01,1,2946,gc,FALSE,80,63,0,0,0
2019/06/01,2,15489,gc,FALSE,80,63,0,0,0
2019/06/02,1,2525,gc,FALSE,81,61,0.86,0,0
2019/06/02,2,13507,gc,FALSE,81,61,0.86,0,0
2019/06/03,1,2601,gc,FALSE,70,58,0,0,0
2019/06/03,2,13741,gc,FALSE,70,58,0,0,0
2019/06/04,1,2039,gc,FALSE,70,54,0,0,0
2019/06/04,2,10376,gc,FALSE,70,54,0,0,0
2019/06/05,1,2385,gc,FALSE,81,64,0.001,0,0
2019/06/05,2,13604,gc,FALSE,81,64,0.001,0,0
2019/06/06,1,2749,gc,FALSE,83,68,0.04,0,0
2019/06/06,2,15230,gc,FALSE,83,68,0.04,0,0
2019/06/07,1,2811,gc,FALSE,81,66,0,0,0
2019/06/07,2,16325,gc,FALSE,81,66,0,0,0
2019/06/08,1,2636,gc,FALSE,81,63,0,0,0
2019/06/08,2,15381,gc,FALSE,81,63,0,0,0
2019/06/09,1,2357,gc,FALSE,78,60,0,0,0
2019/06/09,2,12945,gc,FALSE,78,60,0,0,0
2019/06/10,1,2476,gc,FALSE,70,60,0.62,0,0
2019/06/10,2,13728,gc,FALSE,70,60,0.62,0,0
2019/06/11,1,2387,gc,FALSE,77,63,0.45,0,0
2019/06/11,2,13799,gc,FALSE,77,63,0.45,0,0
2019/06/12,1,2572,gc,FALSE,74,59,0,0,0
2019/06/12,2,14686,gc,FALSE,74,59,0,0,0
2019/06/13,1,2719,gc,FALSE,65,55,0.6,0,0
2019/06/13,2,15770,gc,FALSE,65,55,0.6,0,0
2019/06/14,1,2844,gc,FALSE,73,58,0,0,0
2019/06/14,2,15982,gc,FALSE,73,58,0,0,0
2019/06/15,1,2642,gc,FALSE,81,60,0,0,0
2019/06/15,2,15613,gc,FALSE,81,60,0,0,0
2019/06/16,1,2293,gc,FALSE,80,65,0.04,0,0
2019/06/16,2,12759,gc,FALSE,80,65,0.04,0,0
2019/06/17,1,2513,gc,FALSE,76,69,0.001,0,0
2019/06/17,2,13444,gc,FALSE,76,69,0.001,0,0
2019/06/18,1,2597,gc,FALSE,73,67,0.79,0,0
2019/06/18,2,14156,gc,FALSE,73,67,0.79,0,0
2019/06/19,1,2715,gc,FALSE,71,66,0.11,0,0
2019/06/19,2,14764,gc,FALSE,71,66,0.11,0,0
2019/06/20,1,2685,gc,FALSE,78,65,0.42,0,0
2019/06/20,2,15357,gc,FALSE,78,65,0.42,0,0
2019/06/21,1,2835,gc,FALSE,77,65,0.53,0,0
2019/06/21,2,15666,gc,FALSE,77,65,0.53,0,0
2019/06/22,1,2542,gc,FALSE,79,61,0,0,0
2019/06/22,2,15295,gc,FALSE,79,61,0,0,0
2019/06/23,1,2226,gc,FALSE,83,64,0,0,0
2019/06/23,2,12935,gc,FALSE,83,64,0,0,0
2019/06/24,1,2548,gc,FALSE,84,67,0,0,0
2019/06/24,2,13209,gc,FALSE,84,67,0,0,0
2019/06/25,1,2587,gc,FALSE,84,72,0.86,0,0
2019/06/25,2,13672,gc,FALSE,84,72,0.86,0,0
2019/06/26,1,2500,gc,FALSE,87,72,0,0,0
2019/06/26,2,14589,gc,FALSE,87,72,0,0,0
2019/06/27,1,2652,gc,FALSE,89,71,0,0,0
2019/06/27,2,14636,gc,FALSE,89,71,0,0,0
2019/06/28,1,2820,gc,FALSE,89,73,0,0,0
2019/06/28,2,15865,gc,FALSE,89,73,0,0,0
2019/06/29,1,2480,gc,FALSE,91,72,0.08,0,0
2019/06/29,2,14807,gc,FALSE,91,72,0.08,0,0
2019/06/30,1,2096,gc,FALSE,83,69,0.06,0,0
2019/06/30,2,12077,gc,FALSE,83,69,0.06,0,0
2018/10/01,1,3239,gc,FALSE,76,63,0,0,0
2018/10/01,2,18114,gc,FALSE,76,63,0,0,0
2018/10/02,1,3339,gc,FALSE,77,65,0.69,0,0
2018/10/02,2,19005,gc,FALSE,77,65,0.69,0,0
2018/10/03,1,3406,gc,FALSE,74,63,0,0,0
2018/10/03,2,20411,gc,FALSE,74,63,0,0,0
2018/10/04,1,3647,gc,FALSE,76,61,0.04,0,0
2018/10/04,2,21401,gc,FALSE,76,61,0.04,0,0
2018/10/05,1,3750,gc,FALSE,71,60,0,0,0
2018/10/05,2,22144,gc,FALSE,71,60,0,0,0
2018/10/06,1,3796,gc,FALSE,68,63,0,0,0
2018/10/06,2,21350,gc,FALSE,68,63,0,0,0
2018/10/07,1,3162,gc,FALSE,79,67,0,0,0
2018/10/07,2,18314,gc,FALSE,79,67,0,0,0
2018/10/08,1,2624,gc,TRUE,74,64,0,0,0
2018/10/08,2,15905,gc,TRUE,74,64,0,0,0
2018/10/09,1,3190,gc,FALSE,77,66,0.001,0,0
2018/10/09,2,18999,gc,FALSE,77,66,0.001,0,0
2018/10/10,1,3210,gc,FALSE,80,71,0,0,0
2018/10/10,2,20009,gc,FALSE,80,71,0,0,0
2018/10/11,1,3522,gc,FALSE,77,69,0.84,0,0
2018/10/11,2,21413,gc,FALSE,77,69,0.84,0,0
2018/10/12,1,3913,gc,FALSE,68,51,0.43,0,0
2018/10/12,2,22631,gc,FALSE,68,51,0.43,0,0
2018/10/13,1,3954,gc,FALSE,55,46,0.1,0,0
2018/10/13,2,22302,gc,FALSE,55,46,0.1,0,0
2018/10/14,1,3163,gc,FALSE,58,47,0,0,0
2018/10/14,2,18343,gc,FALSE,58,47,0,0,0
2018/10/15,1,3123,gc,FALSE,68,52,0.05,0,0
2018/10/15,2,19041,gc,FALSE,68,52,0.05,0,0
2018/10/16,1,3237,gc,FALSE,60,47,0.01,0,0
2018/10/16,2,19397,gc,FALSE,60,47,0.01,0,0
2018/10/17,1,3499,gc,FALSE,61,46,0,0,0
2018/10/17,2,20989,gc,FALSE,61,46,0,0,0
2018/10/18,1,3621,gc,FALSE,50,42,0,0,0
2018/10/18,2,21765,gc,FALSE,50,42,0,0,0
2018/10/19,1,3871,gc,FALSE,60,43,0,0,0
2018/10/19,2,22608,gc,FALSE,60,43,0,0,0
2018/10/20,1,3829,gc,FALSE,62,51,0.06,0,0
2018/10/20,2,22121,gc,FALSE,62,51,0.06,0,0
2018/10/21,1,3240,gc,FALSE,51,39,0.001,0,0
2018/10/21,2,18850,gc,FALSE,51,39,0.001,0,0
2018/10/22,1,3286,gc,FALSE,50,39,0,0,0
2018/10/22,2,19026,gc,FALSE,50,39,0,0,0
2018/10/23,1,3475,gc,FALSE,63,49,0.001,0,0
2018/10/23,2,19529,gc,FALSE,63,49,0.001,0,0
2018/10/24,1,3506,gc,FALSE,54,44,0,0,0
2018/10/24,2,20588,gc,FALSE,54,44,0,0,0
2018/10/25,1,3784,gc,FALSE,51,40,0,0,0
2018/10/25,2,21198,gc,FALSE,51,40,0,0,0
2018/10/26,1,3950,gc,FALSE,50,38,0.001,0,0
2018/10/26,2,22768,gc,FALSE,50,38,0.001,0,0
2018/10/27,1,3673,gc,FALSE,51,44,1.27,0,0
2018/10/27,2,19839,gc,FALSE,51,44,1.27,0,0
2018/10/28,1,3233,gc,FALSE,52,45,0.07,0,0
2018/10/28,2,17788,gc,FALSE,52,45,0.07,0,0
2018/10/29,1,3259,gc,FALSE,56,47,0.03,0,0
2018/10/29,2,18710,gc,FALSE,56,47,0.03,0,0
2018/10/30,1,3284,gc,FALSE,55,42,0,0,0
2018/10/30,2,19498,gc,FALSE,55,42,0,0,0
2018/10/31,1,3372,gc,FALSE,64,44,0,0,0
2018/10/31,2,20556,gc,FALSE,64,44,0,0,0
2018/09/01,1,3401,gc,FALSE,78,69,0,0,0
2018/09/01,2,18831,gc,FALSE,78,69,0,0,0
2018/09/02,1,3062,gc,FALSE,81,68,0,0,0
2018/09/02,2,16905,gc,FALSE,81,68,0,0,0
2018/09/03,1,2588,gc,TRUE,90,75,0,0,0
2018/09/03,2,13580,gc,TRUE,90,75,0,0,0
2018/09/04,1,3199,gc,FALSE,92,77,0,0,0
2018/09/04,2,18599,gc,FALSE,92,77,0,0,0
2018/09/05,1,3239,gc,FALSE,89,77,0,0,0
2018/09/05,2,19994,gc,FALSE,89,77,0,0,0
